id_electoral,ano,tipo_eleccion,fecha_eleccion,coddpto,departamento,codmpio,municipio,circunscripcion,codigo_partido,codigo_lista,primer_apellido,segundo_apellido,nombres,votos,curules
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,2751,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,18490002,4,VASQUEZ,,ALVARO,1914,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,3959,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,,997,TARJETAS NO MARCADAS,,,1423,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,,998,VOTOS NULOS,,,154,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5042,SANTA FE DE ANTIOQUIA,Departamental,,999,VOTOS EN BLANCO,,,375,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5044,ANZA,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,15,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5044,ANZA,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,381,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5044,ANZA,Departamental,18490002,4,VASQUEZ,,ALVARO,1009,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5044,ANZA,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,943,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5044,ANZA,Departamental,,997,TARJETAS NO MARCADAS,,,634,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5044,ANZA,Departamental,,998,VOTOS NULOS,,,50,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5044,ANZA,Departamental,,999,VOTOS EN BLANCO,,,59,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5045,APARTADO,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,991,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5045,APARTADO,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,6316,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5045,APARTADO,Departamental,18490002,4,VASQUEZ,,ALVARO,6503,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5045,APARTADO,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,17288,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5045,APARTADO,Departamental,,997,TARJETAS NO MARCADAS,,,5814,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5045,APARTADO,Departamental,,998,VOTOS NULOS,,,562,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5045,APARTADO,Departamental,,999,VOTOS EN BLANCO,,,3779,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5051,ARBOLETES,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,79,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5051,ARBOLETES,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,2322,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5051,ARBOLETES,Departamental,18490002,4,VASQUEZ,,ALVARO,3262,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5051,ARBOLETES,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,2370,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5051,ARBOLETES,Departamental,,997,TARJETAS NO MARCADAS,,,2986,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5051,ARBOLETES,Departamental,,998,VOTOS NULOS,,,125,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5051,ARBOLETES,Departamental,,999,VOTOS EN BLANCO,,,348,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5055,ARGELIA,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,27,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5055,ARGELIA,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,158,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5055,ARGELIA,Departamental,18490002,4,VASQUEZ,,ALVARO,1868,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5055,ARGELIA,Departamental,20090002,5,FAJARDO,VALDERRAMA,SERGIO,1035,1
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5055,ARGELIA,Departamental,,997,TARJETAS NO MARCADAS,,,654,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5055,ARGELIA,Departamental,,998,VOTOS NULOS,,,42,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5055,ARGELIA,Departamental,,999,VOTOS EN BLANCO,,,26,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5059,ARMENIA,Departamental,20050001,2,SALDARRIAGA,SANIN,RODRIGO DE JESUS,13,0
420110001,2011,Gobernación,Octubre 30,5,ANTIOQUIA,5059,ARMENIA,Departamental,20050002,3,ESTRADA,MOLINA,CARLOS MARIO,133,0
